TransactionID,CustomerID,AccountID,TransactionDate,TransactionType,Amount,Balance,Month,MonthNum,Year
TXN00001,CUST024,ACC1024,2023-07-01,Credit,10085.61,22082.19,July,7,2023
TXN00002,CUST045,ACC1045,2023-12-16,Debit,1163.9,7426.74,December,12,2023
TXN00003,CUST041,ACC1041,2023-03-29,Debit,10963.99,25741.74,March,3,2023
TXN00004,CUST011,ACC1011,2023-08-25,Credit,4122.22,18960.93,August,8,2023
TXN00005,CUST041,ACC1041,2023-12-19,Debit,3372.27,22369.47,December,12,2023
TXN00006,CUST021,ACC1021,2023-01-29,Credit,12344.86,53606.73,January,1,2023
TXN00007,CUST021,ACC1021,2023-07-25,Credit,1086.21,54692.94,July,7,2023
TXN00008,CUST037,ACC1037,2023-06-11,Credit,9866.04,52189.25,June,6,2023
TXN00009,CUST026,ACC1026,2023-11-26,Credit,2228.79,22375.54,November,11,2023
TXN00010,CUST009,ACC1009,2023-05-07,Debit,8464.39,15522.09,May,5,2023
TXN00011,CUST017,ACC1017,2023-10-27,Credit,13477.56,28397.39,October,10,2023
TXN00012,CUST026,ACC1026,2023-07-05,Credit,14960.15,37335.69,July,7,2023
TXN00013,CUST009,ACC1009,2023-09-18,Credit,1454.55,16976.64,September,9,2023
TXN00014,CUST004,ACC1004,2023-02-26,Credit,9448.95,24493.43,February,2,2023
TXN00015,CUST044,ACC1044,2023-08-05,Debit,1046.56,16975.9,August,8,2023
TXN00016,CUST025,ACC1025,2023-11-02,Credit,7983.8,56058.39,November,11,2023
TXN00017,CUST036,ACC1036,2023-01-06,Debit,10838.76,19003.07,January,1,2023
TXN00018,CUST044,ACC1044,2023-10-02,Credit,11552.12,28528.02,October,10,2023
TXN00019,CUST022,ACC1022,2023-02-27,Credit,6578.0,42994.27,February,2,2023
TXN00020,CUST030,ACC1030,2023-01-02,Debit,13150.21,19017.46,January,1,2023
TXN00021,CUST017,ACC1017,2023-09-14,Credit,7664.46,36061.85,September,9,2023
TXN00022,CUST007,ACC1007,2023-11-17,Credit,12640.87,57788.95,November,11,2023
TXN00023,CUST033,ACC1033,2023-11-08,Credit,2377.31,31507.57,November,11,2023
TXN00024,CUST049,ACC1049,2023-03-24,Debit,14307.15,19298.65,March,3,2023
TXN00025,CUST034,ACC1034,2023-01-01,Debit,4929.93,43860.28,January,1,2023
TXN00026,CUST002,ACC1002,2023-02-27,Credit,13192.96,19318.44,February,2,2023
TXN00027,CUST020,ACC1020,2023-05-03,Credit,3688.99,8981.43,May,5,2023
TXN00028,CUST037,ACC1037,2023-02-10,Credit,11005.42,63194.67,February,2,2023
TXN00029,CUST005,ACC1005,2023-09-30,Credit,2013.03,40154.23,September,9,2023
TXN00030,CUST031,ACC1031,2023-10-09,Credit,4049.34,45370.11,October,10,2023
TXN00031,CUST039,ACC1039,2023-08-05,Credit,13940.81,57717.62,August,8,2023
TXN00032,CUST049,ACC1049,2023-12-20,Credit,10722.94,30021.59,December,12,2023
TXN00033,CUST026,ACC1026,2023-12-10,Debit,5663.97,31671.72,December,12,2023
TXN00034,CUST034,ACC1034,2023-08-20,Credit,3793.79,47654.07,August,8,2023
TXN00035,CUST005,ACC1005,2023-06-23,Credit,8865.8,49020.03,June,6,2023
TXN00036,CUST015,ACC1015,2023-10-29,Credit,207.14,34451.94,October,10,2023
TXN00037,CUST046,ACC1046,2023-11-20,Credit,3511.23,18986.82,November,11,2023
TXN00038,CUST003,ACC1003,2023-06-19,Credit,7760.93,25137.25,June,6,2023
TXN00039,CUST018,ACC1018,2023-12-09,Credit,3292.13,34809.09,December,12,2023
TXN00040,CUST009,ACC1009,2023-10-20,Debit,7142.8,9833.84,October,10,2023
TXN00041,CUST031,ACC1031,2023-07-28,Credit,1505.45,46875.56,July,7,2023
TXN00042,CUST043,ACC1043,2023-08-09,Credit,6411.32,21666.74,August,8,2023
TXN00043,CUST030,ACC1030,2023-01-28,Debit,9836.49,9180.97,January,1,2023
TXN00044,CUST042,ACC1042,2023-02-20,Credit,6099.06,13161.16,February,2,2023
TXN00045,CUST022,ACC1022,2023-02-25,Credit,2954.69,45948.96,February,2,2023
TXN00046,CUST035,ACC1035,2023-08-18,Credit,6386.04,28420.09,August,8,2023
TXN00047,CUST018,ACC1018,2023-08-25,Credit,13129.84,47938.93,August,8,2023
TXN00048,CUST005,ACC1005,2023-08-15,Debit,1558.84,47461.19,August,8,2023
TXN00049,CUST042,ACC1042,2023-10-04,Credit,14538.04,27699.2,October,10,2023
TXN00050,CUST049,ACC1049,2023-05-02,Credit,6155.57,36177.16,May,5,2023
TXN00051,CUST031,ACC1031,2023-04-20,Credit,13546.4,60421.96,April,4,2023
TXN00052,CUST011,ACC1011,2023-07-14,Credit,14781.1,33742.03,July,7,2023
TXN00053,CUST017,ACC1017,2023-08-21,Credit,6402.81,42464.66,August,8,2023
TXN00054,CUST047,ACC1047,2023-10-12,Debit,10804.28,500.0,October,10,2023
TXN00055,CUST010,ACC1010,2023-04-08,Credit,3343.74,9684.61,April,4,2023
TXN00056,CUST004,ACC1004,2023-10-24,Debit,8178.71,16314.72,October,10,2023
TXN00057,CUST048,ACC1048,2023-06-10,Credit,847.12,18355.93,June,6,2023
TXN00058,CUST031,ACC1031,2023-09-15,Debit,2445.75,57976.21,September,9,2023
TXN00059,CUST033,ACC1033,2023-02-11,Credit,1120.97,32628.54,February,2,2023
TXN00060,CUST005,ACC1005,2023-12-12,Credit,6116.26,53577.45,December,12,2023
TXN00061,CUST037,ACC1037,2023-05-07,Debit,8958.34,54236.33,May,5,2023
TXN00062,CUST040,ACC1040,2023-02-11,Credit,9894.86,40875.71,February,2,2023
TXN00063,CUST037,ACC1037,2023-09-25,Credit,14027.12,68263.45,September,9,2023
TXN00064,CUST014,ACC1014,2023-12-09,Debit,4781.34,9166.35,December,12,2023
TXN00065,CUST017,ACC1017,2023-07-22,Credit,10108.18,52572.84,July,7,2023
TXN00066,CUST020,ACC1020,2023-08-23,Credit,13942.37,22923.8,August,8,2023
TXN00067,CUST005,ACC1005,2023-01-05,Credit,9355.27,62932.72,January,1,2023
TXN00068,CUST037,ACC1037,2023-02-21,Credit,8110.75,76374.2,February,2,2023
TXN00069,CUST033,ACC1033,2023-05-16,Credit,14005.56,46634.1,May,5,2023
TXN00070,CUST005,ACC1005,2023-05-06,Credit,4346.31,67279.03,May,5,2023
TXN00071,CUST029,ACC1029,2023-10-06,Debit,4607.51,38529.74,October,10,2023
TXN00072,CUST042,ACC1042,2023-09-28,Credit,10051.16,37750.36,September,9,2023
TXN00073,CUST036,ACC1036,2023-06-03,Debit,1643.44,17359.63,June,6,2023
TXN00074,CUST009,ACC1009,2023-05-16,Credit,13356.72,23190.56,May,5,2023
TXN00075,CUST048,ACC1048,2023-10-11,Credit,4157.99,22513.92,October,10,2023
TXN00076,CUST039,ACC1039,2023-04-18,Debit,5208.92,52508.7,April,4,2023
TXN00077,CUST044,ACC1044,2023-11-21,Credit,7630.59,36158.61,November,11,2023
TXN00078,CUST017,ACC1017,2023-01-27,Credit,9550.84,62123.68,January,1,2023
TXN00079,CUST018,ACC1018,2023-01-23,Credit,5069.99,53008.92,January,1,2023
TXN00080,CUST009,ACC1009,2023-11-23,Credit,2507.57,25698.13,November,11,2023
TXN00081,CUST029,ACC1029,2023-10-10,Debit,6472.54,32057.2,October,10,2023
TXN00082,CUST001,ACC1001,2023-02-27,Credit,14181.26,47955.47,February,2,2023
TXN00083,CUST045,ACC1045,2023-03-18,Debit,636.82,6789.92,March,3,2023
TXN00084,CUST024,ACC1024,2023-10-26,Debit,2306.6,19775.59,October,10,2023
TXN00085,CUST009,ACC1009,2023-01-22,Credit,5533.31,31231.44,January,1,2023
TXN00086,CUST003,ACC1003,2023-07-03,Credit,10262.79,35400.04,July,7,2023
TXN00087,CUST043,ACC1043,2023-02-22,Credit,11723.73,33390.47,February,2,2023
TXN00088,CUST027,ACC1027,2023-11-14,Debit,2402.84,6770.72,November,11,2023
TXN00089,CUST016,ACC1016,2023-03-25,Credit,13233.1,42755.47,March,3,2023
TXN00090,CUST002,ACC1002,2023-04-02,Debit,13874.86,5443.58,April,4,2023
TXN00091,CUST027,ACC1027,2023-12-09,Debit,12180.16,500.0,December,12,2023
TXN00092,CUST018,ACC1018,2023-03-23,Debit,1710.62,51298.3,March,3,2023
TXN00093,CUST003,ACC1003,2023-08-29,Credit,3073.64,38473.68,August,8,2023
TXN00094,CUST030,ACC1030,2023-06-29,Credit,12325.99,21506.96,June,6,2023
TXN00095,CUST015,ACC1015,2023-04-25,Credit,9934.49,44386.43,April,4,2023
TXN00096,CUST026,ACC1026,2023-06-18,Credit,12978.86,44650.58,June,6,2023
TXN00097,CUST050,ACC1050,2023-05-23,Credit,9658.08,31075.53,May,5,2023
TXN00098,CUST026,ACC1026,2023-12-14,Debit,5034.13,39616.45,December,12,2023
TXN00099,CUST002,ACC1002,2023-03-01,Credit,2760.66,8204.24,March,3,2023
TXN00100,CUST017,ACC1017,2023-01-20,Credit,8988.91,71112.59,January,1,2023
TXN00101,CUST023,ACC1023,2023-06-10,Credit,9132.51,29443.78,June,6,2023
TXN00102,CUST033,ACC1033,2023-03-01,Credit,13502.62,60136.72,March,3,2023
TXN00103,CUST013,ACC1013,2023-05-11,Credit,10660.9,16855.02,May,5,2023
TXN00104,CUST001,ACC1001,2023-09-24,Debit,10334.17,37621.3,September,9,2023
TXN00105,CUST048,ACC1048,2023-12-10,Credit,5526.9,28040.82,December,12,2023
TXN00106,CUST005,ACC1005,2023-12-07,Credit,9385.02,76664.05,December,12,2023
TXN00107,CUST043,ACC1043,2023-03-05,Debit,13510.7,19879.77,March,3,2023
TXN00108,CUST033,ACC1033,2023-06-08,Debit,6185.05,53951.67,June,6,2023
TXN00109,CUST026,ACC1026,2023-12-23,Credit,8360.75,47977.2,December,12,2023
TXN00110,CUST013,ACC1013,2023-08-04,Debit,14111.42,2743.6,August,8,2023
